Date,MainPoints,No_of_Units,Month,Year,Whole
1/20/2014,"General Post,KIDNAPPING IN GASTECH KRONOS,AVILA,Kronos,long day,Kronos,GAStech,international employees,Avila.,international president,GAStech,CEO Sten Sanjorge,GAStech,GAStech IPO.,Edvard Vann,GAStech,protector security,Kronos,Kronos,international executive,GAStech,Avila,Kronos.,January,annual corporative meeting,GAStech.,certain point whereas,company officials,main office,Kronos,abductions happened.,Avila,GAStech,Kronos,local time,Kronos,fire alarm",1,14-Jan,2014,"The Explainer

TO SATISFY THE SYSTEM FOR TOMORROW MORNING



2014/01/19


ABILA, Kronos - with a meeting to fix tomorrow to 8, the recent initial public offer, and the CEO Sten Sanjorge, Jr in reporters of the city will be descendant in the headquarters of GAStech - of Kronos in droves with a pile of questions.



The post of Abila will send Haneson Ngohebo, ignited writer of the Blog scene, to blog alive the event with the hopes to obtain Sanjorge, the Jr and to group of its direction of GAStech - of Kronos to comment with respect to the IPO, to its recent falls of the wind, and to the plans of GAStech for Kronos.

The Explainer

TO SATISFY THE SYSTEM FOR TOMORROW MORNING



2014/01/19


ABILA, Kronos - with a meeting to fix tomorrow to 8, the recent initial public offer, and the CEO Sten Sanjorge, Jr in reporters of the city will be descendant in the headquarters of GAStech - of Kronos in droves with a pile of questions.



The post of Abila will send Haneson Ngohebo, ignited writer of the Blog scene, to blog alive the event with the hopes to obtain Sanjorge, the Jr and to group of its direction of GAStech - of Kronos to comment with respect to the IPO, to its recent falls of the wind, and to the plans of GAStech for Kronos.

The Explainer

TO SATISFY THE SYSTEM FOR TOMORROW MORNING



2014/01/19


ABILA, Kronos - with a meeting to fix tomorrow to 8, the recent initial public offer, and the CEO Sten Sanjorge, Jr in reporters of the city will be descendant in the headquarters of GAStech - of Kronos in droves with a pile of questions.



The post of Abila will send Haneson Ngohebo, ignited writer of the Blog scene, to blog alive the event with the hopes to obtain Sanjorge, the Jr and to group of its direction of GAStech - of Kronos to comment with respect to the IPO, to its recent falls of the wind, and to the plans of GAStech for Kronos.

"
1/20/2014,"Bulletin GASTECH EMPLOYEE INTERROGATED,RELEASED,ABILA,Kronos,GAStech,Kronos,Edvard Vann,Kronos,Government officials,apparent confusion,Protector,Kronos,Vann,security guard,GAStech,terrorist group,POK.,Abila,POK,GAStech",1,14-Jan,2014,"The Orb

A CELEBRATION OF RELEASED KLEPTOCRACY



2014/01/19


ABILA, Kronos - to follow the annual executives of GAStech of meeting of the company of GAStech-Kronos and several civils servant of government of the high row of Kronos will deal with one evening with the capital building of Kronos to celebrate the released kleptocracy which maintained the civils servant public of Kronos in the manors and the vehicles of luxury.

Waiting with hearing which President Kapelou Jr. of Sten Sanjorge of II and PRESIDENT must say about the way in which this profane alliance profited the citizens from Kronos."
1/19/2014,"Explainer TO SATISFY THE SYSTEM FOR TOMORROW MORNING,ABILA,Kronos,recent initial public,CEO Sten Sanjorge,Jr,GAStech,Kronos,Abila,Haneson Ngohebo,Blog,Sanjorge,Jr,GAStech,Kronos,IPO,GAStech,Kronos",1,14-Jan,2014,"Athena Speaks

TO MEET the WHOLE FOR Tomorrow morning



2014/01/19


ABILA, Kronos - with a meeting to place tomorrow at 8 AM, the public call to the saving initial recent, and PRESIDENT Sten St George, Jr. in journalists of city will be downward on the registered offices of GAStech - of Kronos in the droves with the abundance of the questions.



The post of Abila will send Haneson Ngohebo, author above of the Blog scene, with the blog of phase the event with the hopes to oblige St. George, Jr. and its control of GAStech - of Kronos groups to present its observations on the IPO, their recent falls of wind, and plans of GAStech for Kronos.

"
1/20/2014,"Athena Speaks DISAPPEARED CONFIRMED BY CONTROL FROM GASTECH,Haneson Ngohebo,ABILA,Kronos,Miriam Avila,administrative assistant,GAStech,GAStech,fact miss.,GAStech,Kronos,Mrs. Avila,GAStech,December,public call,GAStech,IPO,Sten,George,Jr.,part control,international company,GAStech,Kronos,IPO,executive group,CFO Ingrid Barranco,Campo-Corrente,ADA,CIO,ROUCOULEMENT Orhan,environmental adviser,Willem Vasco-Feed,Mr.,George,Jr.,Tethys,international operations,GAStech,Kronos,cubic meters,daily newspaper.,Mrs. Avila,GAStech",1,14-Jan,2014,"The Truth

GAStech and Kronos celebrate company



2014/01/19


ABILA, Kronos - the local GAStech staff employees Ingrid Barranco, Ada campo-Corrente, Orhan Strum, and Willem Vasco-Pais tomorrow a reception with government civil servants will attend construction after a commercial meeting on the their hoofdkwartier.  Spokesman Rufus Drymiau of the government informed the ASTRE which Jr. of Sten Sanjorge, has to the President and CEO of GAStech, of Tethys gereist attend the events.  The reception, which is received by president Kapelou at the bldg. Capitol, is loved to celebrate the company and our country the 20th year cooperation between.



International GAStech cause approximately 5 millions cubic meters daily of gas of the areas of bending Tiskele. The taxes which become by GAStech have paid a lot of infrastructure improvements including projects such as the modernization of the general hospital Abila, many schools, and hundreds of miles covered ways financed.

"
1/20/2014,"Athena Speaks TO WRAP TO THE TOP OF THE EVENTS WITH GASTECH,ABILA,Kronos,contradictory reports/ratios,information finished.,GAStech,Kronos. Currently,Kronos,Tethys,GAStech,Tethan.,motionless speculation,GAStech,Jr.,Sten,George,PRESIDENT,GAStech,recent news,public call,GAStech,month ago.,Currently,Edvard Vann,GAStech,Kronos,Kronos,international director,GAStech,support research,police force,Abila,civils servant,Kronos.,January,annual company,GAStech,Kronos,Little,Abila,GAStech",1,14-Jan,2014,"News Desk

MEETING WHO IS PLACED FOR THE MORNING OF MORNING



2014/01/19


ABILA, Kronos - with a meeting who at 8 AM, the recent initial public, and CEO Sten which Sanjorge are placed tomorrow offer, Jr. in town report donors on the hoofdkwartier GAStech will decrease - Kronos in droves with abundance of questions.



News Desk Haneson Ngohebo, writer of the scene Blog, will send to live blog the event with the hope of getting Sanjorge, Jr. and are GAStech - Kronos control group to comment on IPO, their recent wind falls, and planning GAStech for Kronos.

"
1/20/2014,"Guide POK,GAStech,ABILA,Kronos,Kronos,POK,GAStech,previous today.,Abila,GAStech.,Edvard Vann,Abila,POK. Vann,POK,POK,civil employees,GAStech,Interior,Tethys,federal law,Tethyn,Tethyn,outer subjects,Kronos,Abila",1,14-Jan,2014,"News Online Today

A CELEBRATION OF UNFETTERED KLEPTOCRACY 

 

2014/01/19
 

ABILA, Kronos - Following the annual GAStech-Kronos corporate meeting GAStech executives and several high-ranking Kronos government officials will attend a soiree at the Kronos capital building to celebrate the unfettered kleptocracy that has kept Kronos public officials in mansions and luxury vehicles.

"
1/19/2014,"Orb,CELEBRATION OF RELEASED KLEPTOCRACY,ABILA,Kronos,annual executives,GAStech,GAStech-Kronos,civils servant,high row,Kronos,capital building,Kronos,civils servant,Kronos,Waiting,Kapelou Jr.,Sten Sanjorge,II,PRESIDENT,profane alliance,Kronos",1,14-Jan,2014,"International News

GAStech and Kronos Celebrate Partnership 

 

2014/01/19
 

ABILA, Kronos - Local GAStech executives Ingrid Barranco, Ada Campo-Corrente, Orhan Strum, and Willem Vasco-Pais will attend a reception with government officials tomorrow following a business meeting at their headquarters building.  Government spokesman Rufus Drymiau informed The Star that Sten Sanjorge Jr., President and CEO of GAStech, has traveled from Tethys to attend the events.  The reception, hosted by President Kapelou at the Capitol Building, is being held to celebrate the 20th year of cooperation between the corporation and our country. Taxes paid by GAStech have funded many infrastructure improvements including projects such as the modernization of Abila General Hospital, numerous schools, and hundreds of miles of paved highways.

"
1/19/2014,"Athena Speaks TO MEET,WHOLE FOR Tomorrow,morning 2014/01/19",1,14-Jan,2014,"ABILA, Kronos - Local GAStech executives Ingrid Barranco, Ada Campo-Corrente, Orhan Strum, and Willem Vasco-Pais will attend a reception with government officials tomorrow following a business meeting at their headquarters building.  Government spokesman Rufus Drymiau informed The Star that Sten Sanjorge Jr., President and CEO of GAStech, has traveled from Tethys to attend the events.  The reception, hosted by President Kapelou at the Capitol Building, is being held to celebrate the 20th year of cooperation between the corporation and our country.

GAStech International produces about 5 million cubic meters of gas daily from the Tiskele Bend fields. Taxes paid by GAStech have funded many infrastructure improvements including projects such as the modernization of Abila General Hospital, numerous schools, and hundreds of miles of paved highways.

"
1/20/2014,"Bulletin GASTECH LEADERSHIP CONFIRMED MISSING,ABILA,Kronos,Miriam Avila,administrative assistant,GAStech,GAStech,fact missing.,Government reception,morning 's meeting,GAStech,Kronos,Avila,GAStech,GAStech,Kronos,IPO,executive group,collective $,CFO Ingrid Barranco,CIO Ada Campo-Corrente,COO Orhan Strum.,Centrum,Tethys,GAStech,International 's operations,Kronos,cubic meters,gas daily.,Avila,GAStech,Centrum",1,14-Jan,2014,"ABILA, Kronos - With a meeting set tomorrow at 8 AM, the recent Initial Public Offering, and CEO Sten Sanjorge, Jr. in town reporters will be descending on the GAStech - Kronos headquarters in droves with plenty of questions. The Abila Post will be sending Haneson Ngohebo, writer of the On the Scene Blog, to live blog the event with the hopes of getting Sanjorge, Jr. and his GAStech - Kronos leadership group to comment on the IPO, their recent wind falls, and GAStech's plans for Kronos."
1/21/2014,"Tulip THE REQUIREMENTS OF THE RANSOM WHICH ARE MADE IN REMOVAL GASTECH,ABILA,Kronos,Kronos,international employees,GAStech,ransom question,$ 20M,CEO Sten Sanjorge,Jr.,Reported,Sanjorge,Jr.,Sanjorge,Jr.,Tethys.,removal group,Kronos,Elodis,rural municipality hoofdAbila.,clean water,human rights,Kronos,GAStech.,fire bomb attacks",1,14-Jan,2014,"ABILA, Kronos - following the annual executives and several of GAStech of the corporative meeting of GAStech-Kronos the officials of the government of Kronos of the high-graduation will take care of soiree in the capital building of Kronos to celebrate kleptocracy unfettered that she has maintained to civil employees of Kronos mansions and vehicles of the luxury."
