Date,MainPoints,No_of_Units,Month,Year,Whole
Information Technology,"Customer Insights Analyst, Small & Medium Business ",1,Facebook,Information Technology,"Job Description
As a Small & Medium Business Customer Insights Analyst, you will represent the more than one million small businesses that use Facebook and work with product teams to build solutions that meet their needs. You will work closely with the global Small & Medium Business team to understand our customers and prioritize their requests. You will also translate this feedback into actionable recommendations and work with Product, Marketing, and Small & Medium Business Sales and Service to improve the customer experience and increase revenue.Â 
Requirements
BA/BS degree
Passion for small businesses
Analytical: Excel expert with experience using SQL and statistical analysis to mine data for trends and patterns.
Demonstrated ability to influence behavior with people in a variety of roles
Ability to break large, complex problems down into smaller pieces
Track record of increasing responsibility in past roles
Experience with Small & Medium Business landscape and/or online marketing and advertising a plus
Exceptional communication skills
Self-aware and self-motivated
Flexible, creative, fun, and comfortable with ambiguity
2+ years of related experience strongly preferred
"
Information Technology,Business Analytics Manager ,1,EVENTBRITE ,Information Technology,"Job Description
Eventbrite will be looking for a Business Analytics Manager, who will manage a team of professionals dedicated to meeting Eventbriteâ€™s data needs. Requests for data and insights will come from across our organization, and itâ€™s this personâ€™s responsibility to lead our growing team, while ensuring an efficient and accurate response to these requests.
Requirements
7+ years of experience in business analytics or related field
Excellent grasp of SQL & Excel
Working knowledge of at least one analytics-related language: Python, R, Matlab, etc.
Strong familiarity with a BI reporting tool, like Tableau
Excellent communication skills
Proven ability to mentor and grow a team
Experience with Hadoop and Hive
"
Banking & Finance,Management Analytics Analyst ,1,Great Eastern Life,Banking & Finance,"Job Description
You will report and perform the analytics to gain meaningful insights of our customers, products and distribution channels. These insights will aid in formulating recommendations to acquire greater sales and improve planning for the company.Â 
Requirements
Degree in business analytics, applied mathematics, statistics, econometrics or related fields in analytics;
Candidates with at least 1 year of relevant experience in Financial Services or Insurance industry would be an advantage;
Good knowledge of SQL is a must;
Able to use SAS, Qlikview, Microsoft Access, Excel and Visual Basic;
Possess strong reasoning and analytical skills to merge statistical insights with business realities;
Good communications and interpersonal skills; and
Good time management skill and able to prioritize work to ensure efficiency."
Hospitality,Business Analyst (Global Business Strategy & Analytics) ,1,Host Hotels & Resorts,Hospitality,"Job Description
This individual will work in a collaborative manner to support the timely completion of the departmentâ€™s varied projects and objectives, primarily as they relate to business analytics strategic analysis.Â  This individual must be highly skilled at gathering, understanding, and translating business requirements in order to effectively partner with all departments. This is a highly analytical role that requires proactive problem solving and teamwork, as well as a strong working knowledge of the principals of statistics and data integrity. Â 
Â Requirements
BS/BA or MS in Business Analytics from an accredited university/college
Relevant coursework and a solid understanding of the principles of statistics and data quality
Candidate must be self-motivated and highly detail-oriented, with a commitment to quality, accuracy, and integrity
Strong research, verbal and written communication, analyticalÂ  and organizational skills, and the ability to quickly identify and summarize the key issues driving each analysis
Requires flexibility; the ability to multi-task and independently manage projecttimelines with a sense of urgency
Requires a strong desire to achieve team goals."
Information Technology,"Business Analytics (GSO, Manager) ",1,Linkedin,Information Technology,"Job Description
Weâ€™re looking for a hands-on professional who is passionate about mining big data, turning data into insights, and making an impact through rigorous analysis, creative storytelling and timely actions. This person will play a significant role on analytics for Global Sales Organization (GSO) and work closely with sales, marketing, engineering and data service team to develop and deliver data-driven insights and tools to ultimately drive the companyâ€™s monetization efforts.Â Requirements
Advanced degree in quantitative fields such as Computer Science, Engineering, Operational Research, Statistics, and Economics. 
6+ yearsâ€™ experience in Analytics functions in internet, technology, retail, or financial services industries
Experience in leading business analytics/data engineering teams
Excellent oral and written communication skills. Must be able to interact cross-functionally and drive both business and technical discussions
Must have proficiency with SQL/relational databases (Teradata, Oracle etc.) and capable of analyzing and manipulating very large dataset
Experience with Tableau or other data visualization and BI tools
Data expert, can translate business requirements into detailed technical requirements and project plans.
Familiarity with statistical software such as R, SAS, or SPSS is preferred
Experience with large-scale data analysis frameworks: Pig, Hive, Map-Reduce (Hadoop) is preferred."
Information Technology,Business Development & Strategy Manager (Asia) ,1,Microsoft,Information Technology,"Job Description
The Advertiser & Online Emerging Markets Business Development & Strategy Manager has 3 key areas of focus:â€¢ Strategy.Â - Supporting the Director of Bus Dev & Strategy and the GM of Asia on development of field execution, partnership and growth strategies across Asia.Â â€¢ Business Development.Â - Specific focus on Asia area deals to optimize existing or land new sales and commercial partnerships to drive growth for our businesses in Asia; and,Â â€¢ Project Management.Â - Leading the execution of complex projects from strategy to go live, across multiple stakeholders and countries. Â 
Requirements
â€¢ 7-10+ years of experience in strategy and / or strategic business development with at least 3 years in media and advertising industries.Â â€¢ Be familiar with MSFTâ€™s and Industry underlying technology and data platforms.â€¢ Demonstrated track record of exceeding established goals on a consistent basis.â€¢ Organization agility/savvy and ability to work across organizational boundaries to build alignment at multiple levels of management and drive closure on issues and sales engagements.â€¢ Proven experience successfully operating in global and highly matrix environments with multiple stakeholders / functional boundariesÂ â€¢ Strong financial modeling skills
"
Data Analytics,Business Consultant,1,SAS,Data Analytics,"Job Description
As an Business Consultant (Operational Research / Optimization), he or she will work closely with sales team in sales engagements by owning and driving the pre-sales activities including (but not limited to) engaging the customer to qualify the opportunity, develop and deliver technical presentations and product demonstrations, develop proposals (RFP/RFI), formulate optimal solution architecture, performing proof-of-concept/proof-of-values and prototyping using SAS technologies based on specific customer requirements discuss implementation approaches, working closely with alliance partners, etc.
Â Requirements
Keen interest towards pre-sales role, responsibility and challenges that comes with it. He or she should be a well-organized, confident, self-motivated, team player, resourceful, responsive, dependable, creative and innovative professional.
Possess tertiary degree/major in Business Analytics/Statistics/ Mathematics/Operations Research/Information System/Computing.
Possess 5-8 years of analytical work experience involving data acquisition/analysis, decision support, operations analytics (statistical forecasting, operations research, optimization) or from a software vendor, including demonstrated proficiency with analytical software.  
Strong exposure to supply chain management, public security and defense industry desired. Comprehensive knowledge of SAS technologies desired."
Banking & Finance,Data Analytics Regional Head (APAC) ,1,UBS,Banking & Finance,"Job Description
This role is for a Hong Kong-based Data Analytics leader to drive the development, execution, monitoring, and evaluation of our analytics strategy and delivery across APAC. The individual will become part of the regional senior management team and the regional audit coordinator committee. Travel expectation during the first 6 to 12 months is 50% and will require onsite delivery in Hong Kong, Singapore, Australia, Japan, and China.Â Requirements
ï‚·  Bachelorâ€™s degree and approximately 10 years of related work experience;ï‚·  A minimum of 8 years programming, application or reporting development experience (SAS, SQL, Business Objects, MS SQL Server, Teradata, ACL);ï‚·  A minimum of 8 years of relevant work experience at a financial services company or comparable experience working as an advisor for a financial services company; 
ï‚·  Fluent in English.ï‚·  Master's degree in an analytical field such as Engineering, Math, Accounting, Finance or Information Technology from a leading university.ï‚·  10+ years of programming, application or reporting development experience using analytics / BI packages (e.g. SAS, SQL, Cognos, Business Objects, MicroStrategy, Spotfire, Tableau, QlikView) to build client analysis solutions.ï‚·  10+ years of relevant work experience at a financial services company or comparable experience working as an advisor for a financial services company. 
"
Information Technology,Business Analyst (Consulting Services) ,1,CISCO,Information Technology,"Job Description
The objective of this position is to effectively support and deliver business development and client project execution efforts of Cisco Consulting Services (CCS). CCS is a global professional services organization within Cisco that offers business strategy and technology consulting across all major industries with the aspiration of helping customer achieve business outcomes from technology investments in the Internet of Everything.Â Â Requirements
â€¢ Consulting or Technology competency and experience from top tier System Integrators, IT consulting, or other digital technology-related professional services fieldÂ â€¢ Innovative thinker â€“ Strong use and passion for technology, understands design thinkingÂ â€¢ Analytical thinker â€“ Strong problem solving capabilities and follows a structured, analytical approach; Enterprise or Solution Architecture skills are a plusÂ  
â€¢ 4-6 years of experience in Consulting or Technology competency and experience from top tier System Integrators, IT consulting, or other digital technology-related professional services fieldÂ â€¢ Educational Background: Undergraduate degree required, a graduate degree preferred "
,,,,,
